Re,dataset,snapshot,cutout,path,origin,N_cube,N_full,eta,dx_phys,max_R_eta,max_R_grid,margin,interior_points,omega_mean,omega_median,omega_p99,omega_p999,enstrophy_mean
433,isotropic1024coarse,1,0,./cz_data\iso_re433_s1_c0.h5,327;45;226,256,1024,0.002873,0.0061359232,60.0,28.093572,31,7301384,9.4107858,7.9538047,30.547487,44.567592,126.67121
433,isotropic1024coarse,1,1,./cz_data\iso_re433_s1_c1.h5,516;229;78,256,1024,0.002873,0.0061359232,60.0,28.093572,31,7301384,17.136904,14.057319,61.723333,101.94235,446.86843
433,isotropic1024coarse,1,2,./cz_data\iso_re433_s1_c2.h5,235;708;511,256,1024,0.002873,0.0061359232,60.0,28.093572,31,7301384,14.583441,12.007868,51.992418,84.265293,321.28907
433,isotropic1024coarse,1,3,./cz_data\iso_re433_s1_c3.h5,215;481;226,256,1024,0.002873,0.0061359232,60.0,28.093572,31,7301384,13.548959,11.29445,46.576264,70.846588,270.42885
433,isotropic1024coarse,2,0,./cz_data\iso_re433_s2_c0.h5,221;288;186,256,1024,0.002873,0.0061359232,60.0,28.093572,31,7301384,13.23713,11.001973,46.098818,73.752792,260.14881
433,isotropic1024coarse,2,1,./cz_data\iso_re433_s2_c1.h5,434;92;88,256,1024,0.002873,0.0061359232,60.0,28.093572,31,7301384,13.569014,10.835934,52.432058,87.483009,294.29847
433,isotropic1024coarse,2,2,./cz_data\iso_re433_s2_c2.h5,642;742;710,256,1024,0.002873,0.0061359232,60.0,28.093572,31,7301384,18.867303,15.74019,64.728014,99.006632,524.28721
433,isotropic1024coarse,2,3,./cz_data\iso_re433_s2_c3.h5,582;166;218,256,1024,0.002873,0.0061359232,60.0,28.093572,31,7301384,18.212808,15.103276,64.139859,101.89785,495.24135
433,isotropic1024coarse,3,0,./cz_data\iso_re433_s3_c0.h5,338;310;243,256,1024,0.002873,0.0061359232,60.0,28.093572,31,7301384,14.072362,11.780174,47.9132,74.352468,289.91823
433,isotropic1024coarse,3,1,./cz_data\iso_re433_s3_c1.h5,419;122;351,256,1024,0.002873,0.0061359232,60.0,28.093572,31,7301384,12.447263,10.365196,43.465289,67.744997,229.29512
433,isotropic1024coarse,3,2,./cz_data\iso_re433_s3_c2.h5,352;170;460,256,1024,0.002873,0.0061359232,60.0,28.093572,31,7301384,13.043685,10.869908,45.035115,70.826544,250.82006
433,isotropic1024coarse,3,3,./cz_data\iso_re433_s3_c3.h5,104;411;659,256,1024,0.002873,0.0061359232,60.0,28.093572,31,7301384,15.748784,12.592156,60.107821,96.0236,392.36141
611,isotropic4096,1,0,./cz_data\iso_re611_s1_c0.h5,681;1480;2813,256,4096,0.0013844,0.0015339808,60.0,54.149309,57,2863288,37.767755,32.805351,115.86218,167.25193,1948.748
611,isotropic4096,1,1,./cz_data\iso_re611_s1_c1.h5,2305;2370;383,256,4096,0.0013844,0.0015339808,60.0,54.149309,57,2863288,63.199308,54.762165,195.42581,285.77282,5554.3323
611,isotropic4096,1,10,./cz_data\iso_re611_s1_c10.h5,1389;3699;3074,256,4096,0.0013844,0.0015339808,60.0,54.149309,57,2863288,71.354082,59.981671,237.5467,337.7644,7510.4428
611,isotropic4096,1,11,./cz_data\iso_re611_s1_c11.h5,2991;1680;399,256,4096,0.0013844,0.0015339808,60.0,54.149309,57,2863288,61.856767,52.766913,198.29032,275.95844,5411.7491
611,isotropic4096,1,2,./cz_data\iso_re611_s1_c2.h5,1162;508;991,256,4096,0.0013844,0.0015339808,60.0,54.149309,57,2863288,56.3291,48.279334,183.20581,268.14215,4495.5022
611,isotropic4096,1,3,./cz_data\iso_re611_s1_c3.h5,2592;2032;3199,256,4096,0.0013844,0.0015339808,60.0,54.149309,57,2863288,56.899631,45.363398,211.92975,311.30376,4977.9733
