snapshot,percentile,ix,iy,iz,omega_mag,R_max,sigma_abs,sigma_signed,C_far
t=0,50.0,94,52,167,30.816148825303674,32,11.694782315681884,0.6282108384490207,0.053717189554407865
t=0,50.0,94,52,167,30.816148825303674,48,14.964752245026526,0.9309659538113658,0.06221058247862196
t=0,50.0,94,52,167,30.816148825303674,64,17.43616853791688,1.2414774936223771,0.07120127859068617
t=0,50.0,94,52,167,30.816148825303674,80,19.474068031297207,1.7090345598857397,0.08775950444145067
t=0,50.0,94,52,167,30.816148825303674,96,21.158574706111487,2.0437448747174862,0.09659180276104168
t=0,50.0,94,52,167,30.816148825303674,112,22.651019316981422,2.2998704909469314,0.10153496665038483
t=0,50.0,127,169,80,15.848229750707489,32,8.666436707054881,0.147896004307564,0.017065376383256777
t=0,50.0,127,169,80,15.848229750707489,48,11.663675909318135,0.05332163723169098,0.0045715979804524754
t=0,50.0,127,169,80,15.848229750707489,64,14.034589038815286,0.03860122628142246,0.002750435098217948
t=0,50.0,127,169,80,15.848229750707489,80,15.933855556341001,0.11871850535563351,0.0074507080182729885
t=0,50.0,127,169,80,15.848229750707489,96,17.480205288765934,0.10526432285960304,0.006021915710981589
t=0,50.0,127,169,80,15.848229750707489,112,18.74979955346753,0.11115319956146026,0.005928234018955362
t=0,50.0,113,1,15,28.712099731628005,32,10.092704274499964,1.077141318665553,0.10672474783463516
t=0,50.0,113,1,15,28.712099731628005,48,14.662776568724476,3.29040583119584,0.22440537205035474
t=0,50.0,113,1,15,28.712099731628005,64,17.533930037799188,3.982557479624335,0.22713433160956167
t=0,50.0,113,1,15,28.712099731628005,80,19.394707717719147,4.239623408627548,0.21859692191979757
t=0,50.0,113,1,15,28.712099731628005,96,21.01762945345929,4.432622638068225,0.21090021821365112
t=0,50.0,113,1,15,28.712099731628005,112,22.380441027093212,4.438700048428346,0.19832942715717553
t=0,50.0,23,234,44,23.315996992078922,32,10.521735267640784,0.1585078757539093,0.0150648036395094
t=0,50.0,23,234,44,23.315996992078922,48,13.335594681291155,0.5936141763976175,0.04451351368907559
t=0,50.0,23,234,44,23.315996992078922,64,15.373757716641817,0.8456395500497971,0.055005390720734945
t=0,50.0,23,234,44,23.315996992078922,80,17.08784762472327,0.9609570711309033,0.05623628512116169
t=0,50.0,23,234,44,23.315996992078922,96,18.60089118749805,1.10450528618365,0.05937915958166592
t=0,50.0,23,234,44,23.315996992078922,112,19.906515830047024,1.0968792606778666,0.05510151902234091
t=0,50.0,24,14,176,17.424763375589382,32,10.292948715869723,0.004469001731739235,0.0004341808994781937
t=0,50.0,24,14,176,17.424763375589382,48,13.388917878866161,0.011836446385507914,0.0008840480233425915
t=0,50.0,24,14,176,17.424763375589382,64,15.886251973280018,0.13646039512095395,0.00858984204395564
t=0,50.0,24,14,176,17.424763375589382,80,17.833776975039147,0.22333514426881187,0.012523154493935889
t=0,50.0,24,14,176,17.424763375589382,96,19.469411062182175,0.21996477509065215,0.01129796758556897
t=0,50.0,24,14,176,17.424763375589382,112,20.818439199172705,0.25302524568833673,0.012153900840865707
t=0,50.0,90,47,140,18.188049224014556,32,13.44324173680254,2.2651914462345193,0.16850038782188057
t=0,50.0,90,47,140,18.188049224014556,48,17.297126237507563,2.583487873058788,0.14935936973488012
t=0,50.0,90,47,140,18.188049224014556,64,19.800118200853195,2.3481034692271545,0.11859037635068127
t=0,50.0,90,47,140,18.188049224014556,80,21.79339643411044,2.2614304763084467,0.10376677555265852
t=0,50.0,90,47,140,18.188049224014556,96,23.382592343955793,2.1179090334688566,0.090576314307439
t=0,50.0,90,47,140,18.188049224014556,112,24.785656199615136,2.089941867022546,0.08432061875589954
t=0,50.0,129,193,144,14.996743377189475,32,16.334939294813907,3.824569822398359,0.2341343150024807
t=0,50.0,129,193,144,14.996743377189475,48,19.474498005313613,3.8543159629687778,0.19791606242775184
t=0,50.0,129,193,144,14.996743377189475,64,21.810720554894576,3.7268891745083192,0.17087418845829752
t=0,50.0,129,193,144,14.996743377189475,80,23.481679529955784,3.737066018210017,0.1591481569043053
t=0,50.0,129,193,144,14.996743377189475,96,24.87076281843827,3.6961255938867676,0.14861327820418102
t=0,50.0,129,193,144,14.996743377189475,112,26.09611427554833,3.6632350976110493,0.14037473391367872
t=0,50.0,166,249,100,35.271873120167996,32,9.430724729068576,0.2373797055554706,0.025170886901596096
t=0,50.0,166,249,100,35.271873120167996,48,12.388664660381046,0.2554322208985797,0.020618220599307367
t=0,50.0,166,249,100,35.271873120167996,64,14.799795550493913,0.2027333289753559,0.013698387135394589
t=0,50.0,166,249,100,35.271873120167996,80,16.682114710888616,0.321705874941688,0.019284478048320022
t=0,50.0,166,249,100,35.271873120167996,96,18.159826802311553,0.34280715289412533,0.018877225902313652
t=0,50.0,166,249,100,35.271873120167996,112,19.45436739297437,0.2738608039243666,0.014077086054377026
t=0,50.0,60,139,13,22.849329152750034,32,12.322872507551601,0.6604828964766487,0.0535981278774001
t=0,50.0,60,139,13,22.849329152750034,48,15.651403292629047,0.23250182998358981,0.014855014955309819
