Re,snapshot,cutout,percentile,selection_mode,omega_lo,omega_hi,n_candidates,n_selected
433,1,0,50.0,bin_width_1_percentile_points,7.8895394,8.0189208,73014,200
433,1,0,99.9,upper_tail,44.567592,inf,7302,200
433,1,1,50.0,bin_width_1_percentile_points,13.941808,14.173788,73014,200
433,1,1,99.9,upper_tail,101.94235,inf,7302,200
433,1,2,50.0,bin_width_1_percentile_points,11.908423,12.108003,73014,200
433,1,2,99.9,upper_tail,84.265293,inf,7302,200
433,1,3,50.0,bin_width_1_percentile_points,11.20224,11.388083,73014,200
433,1,3,99.9,upper_tail,70.846588,inf,7302,200
433,2,0,50.0,bin_width_1_percentile_points,10.913036,11.092421,73014,200
433,2,0,99.9,upper_tail,73.752792,inf,7302,200
433,2,1,50.0,bin_width_1_percentile_points,10.742902,10.930371,73014,200
433,2,1,99.9,upper_tail,87.483009,inf,7302,200
433,2,2,50.0,bin_width_1_percentile_points,15.611878,15.87004,73014,200
433,2,2,99.9,upper_tail,99.006632,inf,7302,200
433,2,3,50.0,bin_width_1_percentile_points,14.978087,15.227535,73014,200
433,2,3,99.9,upper_tail,101.89785,inf,7302,200
433,3,0,50.0,bin_width_1_percentile_points,11.684162,11.876559,73014,200
433,3,0,99.9,upper_tail,74.352468,inf,7302,200
433,3,1,50.0,bin_width_1_percentile_points,10.282203,10.4491,73014,200
433,3,1,99.9,upper_tail,67.744997,inf,7302,200
433,3,2,50.0,bin_width_1_percentile_points,10.782304,10.957072,73014,200
433,3,2,99.9,upper_tail,70.826544,inf,7302,200
433,3,3,50.0,bin_width_1_percentile_points,12.47974,12.704834,73014,200
433,3,3,99.9,upper_tail,96.0236,inf,7302,200
611,1,0,50.0,bin_width_1_percentile_points,32.567883,33.046744,28632,200
611,1,0,99.9,upper_tail,167.25193,inf,2864,200
611,1,1,50.0,bin_width_1_percentile_points,54.341498,55.187773,28632,200
611,1,1,99.9,upper_tail,285.77282,inf,2864,200
611,1,10,50.0,bin_width_1_percentile_points,59.454834,60.510092,28632,200
611,1,10,99.9,upper_tail,337.7644,inf,2864,200
611,1,11,50.0,bin_width_1_percentile_points,52.346423,53.186769,28632,200
611,1,11,99.9,upper_tail,275.95844,inf,2864,200
611,1,2,50.0,bin_width_1_percentile_points,47.913938,48.647505,28632,200
611,1,2,99.9,upper_tail,268.14215,inf,2864,200
611,1,3,50.0,bin_width_1_percentile_points,44.98998,45.746941,28632,200
611,1,3,99.9,upper_tail,311.30376,inf,2864,200
611,1,4,50.0,bin_width_1_percentile_points,23.707997,24.109316,28632,200
611,1,4,99.9,upper_tail,153.67321,inf,2864,200
611,1,5,50.0,bin_width_1_percentile_points,66.592871,67.575346,28632,200
611,1,5,99.9,upper_tail,364.11503,inf,2864,200
611,1,6,50.0,bin_width_1_percentile_points,38.988974,39.582045,28632,200
611,1,6,99.9,upper_tail,224.90286,inf,2864,200
611,1,7,50.0,bin_width_1_percentile_points,36.340517,36.924264,28632,200
611,1,7,99.9,upper_tail,230.87366,inf,2864,200
611,1,8,50.0,bin_width_1_percentile_points,24.119032,24.482201,28632,200
611,1,8,99.9,upper_tail,139.2246,inf,2864,200
611,1,9,50.0,bin_width_1_percentile_points,38.376693,39.010929,28632,200
611,1,9,99.9,upper_tail,232.73037,inf,2864,200
1300,1,0,50.0,bin_width_1_percentile_points,102.57905,104.32332,50884,200
1300,1,0,99.9,upper_tail,667.92936,inf,5089,200
1300,1,1,50.0,bin_width_1_percentile_points,72.091181,73.296026,50884,200
1300,1,1,99.9,upper_tail,428.43712,inf,5089,200
1300,1,2,50.0,bin_width_1_percentile_points,79.9082,81.144949,50884,200
1300,1,2,99.9,upper_tail,458.35714,inf,5089,200
1300,1,3,50.0,bin_width_1_percentile_points,110.72758,112.57518,50884,200
1300,1,3,99.9,upper_tail,740.73105,inf,5089,200
1300,2,0,50.0,bin_width_1_percentile_points,81.376199,82.732415,50884,200
1300,2,0,99.9,upper_tail,521.09561,inf,5089,200
1300,2,1,50.0,bin_width_1_percentile_points,106.98498,108.70338,50884,200
1300,2,1,99.9,upper_tail,683.4526,inf,5089,200
1300,2,2,50.0,bin_width_1_percentile_points,127.65238,129.96077,50884,200
1300,2,2,99.9,upper_tail,900.36274,inf,5089,200
1300,2,3,50.0,bin_width_1_percentile_points,83.167619,84.507101,50884,200
1300,2,3,99.9,upper_tail,604.07894,inf,5089,200
1300,3,0,50.0,bin_width_1_percentile_points,95.781439,97.587238,50884,200
1300,3,0,99.9,upper_tail,936.67132,inf,5089,200
1300,3,1,50.0,bin_width_1_percentile_points,117.90689,120.06303,50884,200
1300,3,1,99.9,upper_tail,859.67017,inf,5089,200
1300,3,2,50.0,bin_width_1_percentile_points,79.098764,80.526061,50884,200
1300,3,2,99.9,upper_tail,667.2695,inf,5089,200
1300,3,3,50.0,bin_width_1_percentile_points,97.845444,99.485269,50884,200
1300,3,3,99.9,upper_tail,579.17161,inf,5089,200
