Re,inner_R_eta,R_eta,percentile,Cfar,ci_lo,ci_hi,n_groups,n_targets
433,12.0,25.0,50.0,0.17612521,0.16476072,0.18709144,12,2400
433,12.0,25.0,99.9,0.15254308,0.14366821,0.16487419,12,2400
433,12.0,35.0,50.0,0.14850177,0.14074967,0.15553175,12,2400
433,12.0,35.0,99.9,0.13338704,0.12258477,0.14381741,12,2400
433,12.0,50.0,50.0,0.12521624,0.11747776,0.13135566,12,2400
433,12.0,50.0,99.9,0.11307682,0.10295692,0.12266513,12,2400
433,12.0,60.0,50.0,0.11374766,0.10816485,0.12021999,12,2400
433,12.0,60.0,99.9,0.104161,0.095649601,0.11404969,12,2400
433,17.0,25.0,50.0,0.18534306,0.17214307,0.19940466,12,2400
433,17.0,25.0,99.9,0.15552916,0.14441428,0.16778535,12,2400
433,17.0,35.0,50.0,0.15455973,0.14408815,0.16645162,12,2400
433,17.0,35.0,99.9,0.13086573,0.12230894,0.14388897,12,2400
433,17.0,50.0,50.0,0.12431262,0.11438847,0.13220951,12,2400
433,17.0,50.0,99.9,0.10859729,0.098763712,0.11732528,12,2400
433,17.0,60.0,50.0,0.1124654,0.10185924,0.12156041,12,2400
433,17.0,60.0,99.9,0.098159132,0.087704595,0.10747516,12,2400
433,22.0,25.0,50.0,0.18715193,0.17522007,0.20134546,12,2400
433,22.0,25.0,99.9,0.1525544,0.14101454,0.16780384,12,2400
433,22.0,35.0,50.0,0.15410098,0.14225191,0.16502272,12,2400
433,22.0,35.0,99.9,0.13031218,0.11875949,0.14498162,12,2400
433,22.0,50.0,50.0,0.11891685,0.11029503,0.12749706,12,2400
433,22.0,50.0,99.9,0.10423973,0.092502847,0.11265763,12,2400
433,22.0,60.0,50.0,0.10789334,0.097004309,0.11614944,12,2400
433,22.0,60.0,99.9,0.09323167,0.085485224,0.10098222,12,2400
433,27.0,35.0,50.0,0.15333711,0.14519757,0.16340643,12,2400
433,27.0,35.0,99.9,0.12959848,0.11557553,0.14203466,12,2400
433,27.0,50.0,50.0,0.1176979,0.10956329,0.12538697,12,2400
433,27.0,50.0,99.9,0.10314436,0.095086586,0.11118698,12,2400
433,27.0,60.0,50.0,0.10560724,0.099607896,0.11175063,12,2400
433,27.0,60.0,99.9,0.091958966,0.08434194,0.099274019,12,2400
611,12.0,25.0,50.0,0.18527062,0.16560545,0.20154654,12,2400
611,12.0,25.0,99.9,0.1765171,0.15330812,0.19554423,12,2400
611,12.0,35.0,50.0,0.15014489,0.13833365,0.16522264,12,2400
611,12.0,35.0,99.9,0.14985816,0.1286378,0.16844843,12,2400
611,12.0,50.0,50.0,0.122052,0.1133652,0.13534655,12,2400
611,12.0,50.0,99.9,0.12484136,0.11040494,0.14085741,12,2400
611,12.0,60.0,50.0,0.11220197,0.1026974,0.12228185,12,2400
611,12.0,60.0,99.9,0.11590894,0.10463583,0.13336114,12,2400
611,17.0,25.0,50.0,0.18917916,0.17132257,0.20739148,12,2400
611,17.0,25.0,99.9,0.16551833,0.14254854,0.18751121,12,2400
611,17.0,35.0,50.0,0.14924965,0.13971754,0.16142789,12,2400
611,17.0,35.0,99.9,0.13793787,0.1172876,0.15585207,12,2400
611,17.0,50.0,50.0,0.12215205,0.10903961,0.13342054,12,2400
611,17.0,50.0,99.9,0.11511314,0.10444291,0.12950897,12,2400
611,17.0,60.0,50.0,0.10818319,0.096287747,0.11987046,12,2400
611,17.0,60.0,99.9,0.10441713,0.095018602,0.11768224,12,2400
611,22.0,25.0,50.0,0.18783554,0.17353659,0.2037768,12,2400
611,22.0,25.0,99.9,0.15599206,0.13325231,0.17760242,12,2400
611,22.0,35.0,50.0,0.15498733,0.14293042,0.16909719,12,2400
611,22.0,35.0,99.9,0.12885795,0.11342785,0.14730973,12,2400
611,22.0,50.0,50.0,0.12237792,0.11197703,0.13714809,12,2400
611,22.0,50.0,99.9,0.10387503,0.090619951,0.11941254,12,2400
611,22.0,60.0,50.0,0.10990269,0.097824691,0.12012572,12,2400
611,22.0,60.0,99.9,0.093481313,0.081842298,0.11157778,12,2400
611,27.0,35.0,50.0,0.15927575,0.14733979,0.17383136,12,2400
611,27.0,35.0,99.9,0.12514802,0.11187978,0.1445014,12,2400
611,27.0,50.0,50.0,0.12599364,0.11333111,0.13872121,12,2400
611,27.0,50.0,99.9,0.099985701,0.08684765,0.11374441,12,2400
611,27.0,60.0,50.0,0.10917203,0.1005878,0.11791673,12,2400
611,27.0,60.0,99.9,0.091562545,0.079474865,0.10737961,12,2400
1300,12.0,25.0,50.0,0.18553501,0.17339426,0.20258619,12,2400
1300,12.0,25.0,99.9,0.14579008,0.13229208,0.16250553,12,2400
1300,12.0,35.0,50.0,0.15641146,0.14465602,0.16913226,12,2400
1300,12.0,35.0,99.9,0.12330926,0.11317671,0.13519477,12,2400
1300,12.0,50.0,50.0,0.12655017,0.11534414,0.1385507,12,2400
1300,12.0,50.0,99.9,0.10194068,0.093114419,0.11053174,12,2400
1300,12.0,60.0,50.0,0.11572257,0.10350257,0.12749463,12,2400
1300,12.0,60.0,99.9,0.095685791,0.088641015,0.10559754,12,2400
1300,17.0,25.0,50.0,0.18498525,0.17301359,0.20625922,12,2400
1300,17.0,25.0,99.9,0.14554215,0.12823936,0.1572708,12,2400
1300,17.0,35.0,50.0,0.15840243,0.14481391,0.17462677,12,2400
1300,17.0,35.0,99.9,0.11931527,0.1093136,0.12849458,12,2400
1300,17.0,50.0,50.0,0.12690828,0.1143407,0.13891291,12,2400
1300,17.0,50.0,99.9,0.097075796,0.087458996,0.10649781,12,2400
1300,17.0,60.0,50.0,0.11381692,0.10142095,0.12260223,12,2400
1300,17.0,60.0,99.9,0.089239198,0.081355011,0.10089361,12,2400
1300,22.0,25.0,50.0,0.19341613,0.17922678,0.20981667,12,2400
1300,22.0,25.0,99.9,0.14019688,0.12477547,0.15654699,12,2400
1300,22.0,35.0,50.0,0.15974371,0.14593255,0.17559675,12,2400
1300,22.0,35.0,99.9,0.12090633,0.10872143,0.13385039,12,2400
1300,22.0,50.0,50.0,0.12729625,0.11568432,0.13871287,12,2400
1300,22.0,50.0,99.9,0.093897708,0.083761552,0.1085269,12,2400
1300,22.0,60.0,50.0,0.11365124,0.10313804,0.12338831,12,2400
1300,22.0,60.0,99.9,0.08491996,0.075006426,0.097864761,12,2400
1300,27.0,35.0,50.0,0.15465893,0.14165835,0.1714064,12,2400
1300,27.0,35.0,99.9,0.122778,0.10783357,0.13769126,12,2400
1300,27.0,50.0,50.0,0.12746638,0.11765468,0.14011045,12,2400
1300,27.0,50.0,99.9,0.095885032,0.084133003,0.11196321,12,2400
1300,27.0,60.0,50.0,0.11387816,0.10352773,0.12450965,12,2400
1300,27.0,60.0,99.9,0.086737292,0.076553243,0.098928196,12,2400
