Re,R_eta,percentile,drop_fraction,far_total_share,ci_lo,ci_hi,n_groups,n_targets
433,25.0,50.0,0.05,0.16336854,0.14998314,0.17820843,12,2280
433,25.0,99.9,0.05,0.083787354,0.076157669,0.091610352,12,2280
433,35.0,50.0,0.05,0.24915067,0.22800117,0.26582905,12,2280
433,35.0,99.9,0.05,0.12633317,0.11568429,0.13613701,12,2280
433,50.0,50.0,0.05,0.30626232,0.2762467,0.33555732,12,2280
433,50.0,99.9,0.05,0.14552626,0.13235988,0.1603263,12,2280
433,60.0,50.0,0.05,0.32772904,0.29962226,0.36590893,12,2280
433,60.0,99.9,0.05,0.15052991,0.1383962,0.16516692,12,2280
611,25.0,50.0,0.05,0.17273266,0.16052912,0.18837236,12,2280
611,25.0,99.9,0.05,0.078816684,0.069826421,0.088926474,12,2280
611,35.0,50.0,0.05,0.26761139,0.24871522,0.29458438,12,2280
611,35.0,99.9,0.05,0.12074855,0.1057336,0.1335415,12,2280
611,50.0,50.0,0.05,0.319711,0.28289037,0.36022796,12,2280
611,50.0,99.9,0.05,0.15113292,0.13377195,0.1654331,12,2280
611,60.0,50.0,0.05,0.33929405,0.30789871,0.37433289,12,2280
611,60.0,99.9,0.05,0.1612122,0.14406625,0.1745266,12,2280
1300,25.0,50.0,0.05,0.16453999,0.15151975,0.17945284,12,2280
1300,25.0,99.9,0.05,0.071537192,0.06453774,0.082469099,12,2280
1300,35.0,50.0,0.05,0.2677705,0.24475186,0.29286832,12,2280
1300,35.0,99.9,0.05,0.10481543,0.092682685,0.12073182,12,2280
1300,50.0,50.0,0.05,0.31777164,0.28599065,0.36465955,12,2280
1300,50.0,99.9,0.05,0.12502904,0.1084801,0.14621612,12,2280
1300,60.0,50.0,0.05,0.34276046,0.30858274,0.39896487,12,2280
1300,60.0,99.9,0.05,0.13513943,0.11524234,0.16013688,12,2280
