Re,percentile,band_R_eta_lo,band_R_eta_hi,shell_cancellation_A,ci_lo,ci_hi,n_groups,n_targets
433,50.0,17.0,25.0,0.18534306,0.17101794,0.19975187,12,2400
433,99.9,17.0,25.0,0.15552916,0.14429592,0.16800095,12,2400
433,50.0,25.0,35.0,0.15536176,0.14463256,0.16514719,12,2400
433,99.9,25.0,35.0,0.12929533,0.11524565,0.1424274,12,2400
433,50.0,35.0,50.0,0.12244799,0.1122998,0.12986821,12,2400
433,99.9,35.0,50.0,0.10718852,0.099568443,0.11470116,12,2400
433,50.0,50.0,60.0,0.11196568,0.10432426,0.12207141,12,2400
433,99.9,50.0,60.0,0.087697708,0.079621675,0.095385674,12,2400
611,50.0,17.0,25.0,0.18917916,0.1716528,0.20694899,12,2400
611,99.9,17.0,25.0,0.16551833,0.14167179,0.18711463,12,2400
611,50.0,25.0,35.0,0.15534378,0.14246862,0.16881729,12,2400
611,99.9,25.0,35.0,0.12624168,0.10930912,0.14544092,12,2400
611,50.0,35.0,50.0,0.1274698,0.11920857,0.13790625,12,2400
611,99.9,35.0,50.0,0.09992466,0.085881487,0.1143773,12,2400
611,50.0,50.0,60.0,0.11094997,0.10185716,0.1209873,12,2400
611,99.9,50.0,60.0,0.093435176,0.080907221,0.11101165,12,2400
1300,50.0,17.0,25.0,0.18498525,0.17305438,0.20631345,12,2400
1300,99.9,17.0,25.0,0.14554215,0.12843196,0.15678152,12,2400
1300,50.0,25.0,35.0,0.1578661,0.1423108,0.17282527,12,2400
1300,99.9,25.0,35.0,0.12095373,0.10943469,0.13425485,12,2400
1300,50.0,35.0,50.0,0.12882769,0.11812154,0.13967436,12,2400
1300,99.9,35.0,50.0,0.097287867,0.083004735,0.10884511,12,2400
1300,50.0,50.0,60.0,0.11259314,0.10367162,0.12584593,12,2400
1300,99.9,50.0,60.0,0.090004758,0.07909324,0.098117029,12,2400
