Re,percentile,R_eta_lo,R_eta_hi,capacity_increment_dlnR,capacity_increment_ci_lo,capacity_increment_ci_hi,realisation_increment_dlnR,realisation_increment_ci_lo,realisation_increment_ci_hi
433,50.0,25.0,35.0,6.588264,5.8053414,7.451943,0.735382,0.61128643,0.89619548
433,50.0,35.0,50.0,6.8401141,6.0958723,7.8471153,0.4423721,0.27698718,0.57978798
433,50.0,50.0,60.0,6.9421226,6.0581358,7.856577,0.33233648,0.12963495,0.59613659
433,99.9,25.0,35.0,10.326465,8.7610249,11.628749,1.0220545,0.79524898,1.1718597
433,99.9,35.0,50.0,9.7400966,8.3544073,11.051758,0.42927464,0.26104906,0.64060204
433,99.9,50.0,60.0,9.0790164,7.8505304,10.44243,0.34269226,0.083806199,0.61325295
611,50.0,25.0,35.0,23.778658,19.316142,29.190086,2.6657636,2.1781535,3.231052
611,50.0,35.0,50.0,24.906345,20.373463,30.192865,1.3170651,0.77370932,1.9890405
611,50.0,50.0,60.0,25.711156,20.504783,30.545914,1.3431867,0.48970204,1.9134856
611,99.9,25.0,35.0,31.48864,26.362872,34.537881,3.0602243,2.473532,3.6922868
611,99.9,35.0,50.0,29.968866,23.816793,32.407292,1.7169347,1.1354676,2.4361562
611,99.9,50.0,60.0,28.463713,22.425157,32.818289,1.3024379,0.23482971,2.0752696
1300,50.0,25.0,35.0,54.478726,48.091268,63.291963,6.4624267,5.2561798,7.9276472
1300,50.0,35.0,50.0,56.391041,49.492621,65.099114,4.3517914,3.0961153,5.3276942
1300,50.0,50.0,60.0,56.045644,49.501508,65.477732,1.8897116,0.51962351,4.0511449
1300,99.9,25.0,35.0,76.929082,61.764555,91.944061,6.5886586,4.905112,9.0347232
1300,99.9,35.0,50.0,72.418615,57.716252,83.052213,2.9996007,1.5272734,4.7204397
1300,99.9,50.0,60.0,68.093218,56.270875,78.109503,2.7006123,0.65712078,4.777451
