Re,R_eta,tail_median_ratio,ci_lo,ci_hi
433,25.0,0.83914207,0.76196881,0.94186619
433,35.0,0.84670005,0.7601588,0.95561622
433,50.0,0.8735822,0.79353002,0.95152518
433,60.0,0.87279408,0.78267707,0.98132648
611,25.0,0.87492898,0.76317508,0.98876791
611,35.0,0.924209,0.78012116,1.0377777
611,50.0,0.94237581,0.84435052,1.0718381
611,60.0,0.9651881,0.84732876,1.0960462
1300,25.0,0.78677703,0.70386117,0.85853639
1300,35.0,0.75324136,0.68640437,0.82015665
1300,50.0,0.7649288,0.68591412,0.86248285
1300,60.0,0.78405917,0.71454057,0.90121891
