Re,R_eta,tail_median_ratio,ci_lo,ci_hi,grad_order
433,25.0,0.89096406,0.70010718,1.0287395,6
433,35.0,0.89508475,0.70042134,1.0859348,6
433,50.0,0.859247,0.72216332,1.0096278,6
433,60.0,0.87190738,0.72180942,1.0536137,6
611,25.0,0.83433718,0.68893521,0.98801046,6
611,35.0,0.88646741,0.70987159,1.0464796,6
611,50.0,0.93880813,0.72896925,1.0972137,6
611,60.0,0.93801486,0.72941315,1.1788272,6
1300,25.0,0.7665017,0.64749541,0.9830688,6
1300,35.0,0.79322174,0.59845192,0.9627023,6
1300,50.0,0.79186451,0.56486069,1.1252527,6
1300,60.0,0.81541652,0.58512097,1.1574833,6
