Re,R_eta,tail_median_ratio,ci_lo,ci_hi,threshold_mode
433,25.0,0.83581186,0.75396372,0.89925271,pooled
433,35.0,0.8396674,0.74755968,0.94288132,pooled
433,50.0,0.86457671,0.75622848,0.94953712,pooled
433,60.0,0.88761965,0.7955653,0.99372518,pooled
611,25.0,0.81513876,0.71720792,0.93611606,pooled
611,35.0,0.80475571,0.68953364,0.94176909,pooled
611,50.0,0.83117854,0.72631282,0.98508966,pooled
611,60.0,0.87610954,0.75678669,1.0181776,pooled
1300,25.0,0.74320535,0.63633503,0.84566676,pooled
1300,35.0,0.72831844,0.6319986,0.84142022,pooled
1300,50.0,0.80179911,0.66850816,0.9142093,pooled
1300,60.0,0.80905886,0.68023911,0.9322271,pooled
