Re,R_eta,percentile,Cfar,ci_lo,ci_hi,n_groups,n_targets
433,25.0,50.0,0.18534306,0.17227883,0.19851567,12,2400
433,25.0,99.9,0.15552916,0.14441396,0.16810465,12,2400
433,35.0,50.0,0.15455973,0.14485557,0.16679147,12,2400
433,35.0,99.9,0.13086573,0.1220809,0.14583735,12,2400
433,50.0,50.0,0.12431262,0.1146031,0.13258702,12,2400
433,50.0,99.9,0.10859729,0.098546188,0.11716905,12,2400
433,60.0,50.0,0.1124654,0.10171142,0.12153411,12,2400
433,60.0,99.9,0.098159132,0.089134659,0.10751801,12,2400
611,25.0,50.0,0.18917916,0.1713248,0.20696257,12,2400
611,25.0,99.9,0.16551833,0.14222928,0.18726272,12,2400
611,35.0,50.0,0.14924965,0.13979549,0.16153954,12,2400
611,35.0,99.9,0.13793787,0.11727667,0.15533365,12,2400
611,50.0,50.0,0.12215205,0.10939553,0.13325905,12,2400
611,50.0,99.9,0.11511314,0.10493096,0.12925973,12,2400
611,60.0,50.0,0.10818319,0.096176882,0.1200485,12,2400
611,60.0,99.9,0.10441713,0.094898501,0.11775176,12,2400
1300,25.0,50.0,0.18498525,0.17300218,0.20578267,12,2400
1300,25.0,99.9,0.14554215,0.12877038,0.15630564,12,2400
1300,35.0,50.0,0.15840243,0.14481062,0.17462691,12,2400
1300,35.0,99.9,0.11931527,0.10922974,0.12798449,12,2400
1300,50.0,50.0,0.12690828,0.11400487,0.13939022,12,2400
1300,50.0,99.9,0.097075796,0.087965908,0.10665768,12,2400
1300,60.0,50.0,0.11381692,0.10102537,0.12290457,12,2400
1300,60.0,99.9,0.089239198,0.08154823,0.10120573,12,2400
